date,date_of_birth,day,sex,animal,cage,dam,weight,length_body,length_tail,group
2025-02-28,2025-01-21,38,Male,30,BP3A,14,12.8,65,59,1
2025-02-28,2025-01-21,38,Male,31,BP3A,14,11.1,63,54,1
2025-02-28,2025-01-21,38,Female,32,BP3A,14,13.1,71,59,1
2025-02-28,2025-01-21,38,Female,33,BP3A,14,10.3,65,54,1
2025-03-04,2025-01-21,42,Male,30,BP3A,14,13.3,74,60,1
2025-03-04,2025-01-21,42,Male,31,BP3A,14,12.6,71,55,1
2025-03-04,2025-01-21,42,Female,32,BP3A,14,13.8,75,59,1
2025-03-04,2025-01-21,42,Female,33,BP3A,14,11.1,69,56,1
2025-03-07,2025-01-21,45,Male,30,BP3A,14,14.5,76,60,1
2025-03-07,2025-01-21,45,Male,31,BP3A,14,14.5,74,58,1
2025-03-07,2025-01-21,45,Female,32,BP3A,14,14.6,75,59,1
2025-03-07,2025-01-21,45,Female,33,BP3A,14,12.7,73,57,1
2025-03-11,2025-01-21,49,Male,30,BP3A,14,16.2,76,62,1
2025-03-11,2025-01-21,49,Male,31,BP3A,14,15.4,79,60,1
2025-03-11,2025-01-21,49,Female,32,BP3A,14,15.6,82,61,1
2025-03-11,2025-01-21,49,Female,33,BP3A,14,13.6,73,61,1
2025-03-14,2025-01-21,52,Male,30,BP3A,14,17,80,65,1
2025-03-14,2025-01-21,52,Male,31,BP3A,14,16.4,79,64,1
2025-03-14,2025-01-21,52,Female,32,BP3A,14,16,82,65,1
2025-03-14,2025-01-21,52,Female,33,BP3A,14,13.6,73,62,1
2025-03-18,2025-01-21,56,Male,30,BP3A,14,17.7,80,65,1
2025-03-18,2025-01-21,56,Male,31,BP3A,14,16.6,79,64,1
2025-03-18,2025-01-21,56,Female,32,BP3A,14,16.5,82,65,1
2025-03-18,2025-01-21,56,Female,33,BP3A,14,14.6,77,62,1
2025-03-20,2025-01-21,58,Male,30,BP3A,14,17.4,82,65,1
2025-03-20,2025-01-21,58,Male,31,BP3A,14,17,81,65,1
2025-03-20,2025-01-21,58,Female,32,BP3A,14,16.9,83,65,1
2025-03-20,2025-01-21,58,Female,33,BP3A,14,15,77,62,1
2025-03-25,2025-01-21,63,Male,30,BP3A,14,18,83,65,1
2025-03-25,2025-01-21,63,Male,31,BP3A,14,18.4,85,66,1
2025-03-25,2025-01-21,63,Female,32,BP3A,14,17,86,66,1
2025-03-25,2025-01-21,63,Female,33,BP3A,14,15,81,64,1
2025-03-27,2025-01-21,65,Male,30,BP3A,14,18,83,65,1
2025-03-27,2025-01-21,65,Male,31,BP3A,14,18.3,85,66,1
2025-03-27,2025-01-21,65,Female,32,BP3A,14,17.9,86,66,1
2025-03-27,2025-01-21,65,Female,33,BP3A,14,15.6,81,66,1
2025-04-01,2025-01-21,65,Male,30,BP3A,14,19.3,83,69,1
2025-04-01,2025-01-21,65,Male,31,BP3A,14,19.3,85,68,1
2025-04-01,2025-01-21,65,Female,32,BP3A,14,17.7,86,66,1
2025-04-01,2025-01-21,65,Female,33,BP3A,14,16,82,67,1
2025-01-23,2025-01-17,6,Male,,BP2B,12,4.2,,,2
2025-01-23,2025-01-17,6,Male,,BP2B,12,4.2,,,2
2025-01-23,2025-01-17,6,Female,,BP2B,12,4.3,,,2
2025-01-23,2025-01-17,6,Female,,BP2B,12,3.6,,,2
2025-01-28,2025-01-17,11,Male,,BP2B,12,4.4,46,32,2
2025-01-28,2025-01-17,11,Male,,BP2B,12,4.6,47,35,2
2025-01-28,2025-01-17,11,Female,,BP2B,12,4.2,44,30,2
2025-01-28,2025-01-17,11,Female,,BP2B,12,4.5,44,32,2
2025-01-30,2025-01-17,13,Male,,BP2B,12,4.9,46,35,2
2025-01-30,2025-01-17,13,Male,,BP2B,12,5.4,50,38,2
2025-01-30,2025-01-17,13,Female,,BP2B,12,4.5,49,34,2
2025-01-30,2025-01-17,13,Female,,BP2B,12,5.2,50,36,2
2025-01-30,2025-01-17,18,Male,26,BP2B,12,5.1,56,42,2
2025-01-30,2025-01-17,18,Male,27,BP2B,12,6.3,58,44,2
2025-01-30,2025-01-17,18,Female,28,BP2B,12,5.3,52,41,2
2025-01-30,2025-01-17,18,Female,29,BP2B,12,6.2,59,42,2
2025-02-07,2025-01-17,21,Male,26,BP2B,12,7.1,60,46,2
2025-02-07,2025-01-17,21,Male,27,BP2B,12,7.2,59,49,2
2025-02-07,2025-01-17,21,Female,28,BP2B,12,6,56,43,2
2025-02-07,2025-01-17,21,Female,29,BP2B,12,7.6,59,45,2
2025-02-11,2025-01-17,25,Male,26,BP2B,12,8.8,60,50,2
2025-02-11,2025-01-17,25,Male,27,BP2B,12,8.8,59,50,2
2025-02-11,2025-01-17,25,Female,28,BP2B,12,6.8,56,46,2
2025-02-11,2025-01-17,25,Female,29,BP2B,12,9.6,59,48,2
2025-02-13,2025-01-17,27,Male,26,BP2B,12,9.3,64,54,2
2025-02-13,2025-01-17,27,Male,27,BP2B,12,9.1,65,52,2
2025-02-13,2025-01-17,27,Female,28,BP2B,12,7.6,60,50,2
2025-02-13,2025-01-17,27,Female,29,BP2B,12,10,66,50,2
2025-02-18,2025-01-17,32,Male,26,BP2B,12,10.6,66,56,2
2025-02-18,2025-01-17,32,Male,27,BP2B,12,10.6,66,55,2
2025-02-18,2025-01-17,32,Female,28,BP2B,12,10,61,52,2
2025-02-18,2025-01-17,32,Female,29,BP2B,12,11.2,66,52,2
2025-02-21,2025-01-17,37,Male,26,BP2B,12,11.2,,,2
2025-02-21,2025-01-17,37,Male,27,BP2B,12,10.7,,,2
2025-02-21,2025-01-17,37,Female,28,BP2B,12,11,,,2
2025-02-21,2025-01-17,37,Female,29,BP2B,12,11.5,,,2
2025-02-24,2025-01-17,40,Male,26,BP2B,12,11.8,,,2
2025-02-24,2025-01-17,40,Male,27,BP2B,12,12.2,,,2
2025-02-24,2025-01-17,40,Female,28,BP2B,12,11.2,,,2
2025-02-24,2025-01-17,40,Female,29,BP2B,12,12.2,,,2
2025-02-25,2025-01-17,41,Male,26,BP2B,12,11.9,,,2
2025-02-25,2025-01-17,41,Male,27,BP2B,12,11.7,,,2
2025-02-25,2025-01-17,41,Female,28,BP2B,12,10.9,,,2
2025-02-25,2025-01-17,41,Female,29,BP2B,12,12,,,2
2025-02-28,2025-01-17,44,Male,26,BP2B,12,12.8,70,60,2
2025-02-28,2025-01-17,44,Male,27,BP2B,12,12.8,72,59,2
2025-02-28,2025-01-17,44,Female,28,BP2B,12,12.3,72,57,2
2025-02-28,2025-01-17,44,Female,29,BP2B,12,14.2,73,55,2
2025-03-04,2025-01-17,48,Male,26,BP2B,12,13.8,76,62,2
2025-03-04,2025-01-17,48,Male,27,BP2B,12,14.5,78,60,2
2025-03-04,2025-01-17,48,Female,28,BP2B,12,13.1,74,60,2
2025-03-04,2025-01-17,48,Female,29,BP2B,12,14.5,76,59,2
2025-03-07,2025-01-17,51,Male,26,BP2B,12,15.6,77,62,2
2025-03-07,2025-01-17,51,Male,27,BP2B,12,15.9,78,63,2
2025-03-07,2025-01-17,51,Female,28,BP2B,12,14.1,74,60,2
2025-03-07,2025-01-17,51,Female,29,BP2B,12,14.7,76,61,2
2025-03-11,2025-01-17,55,Male,26,BP2B,12,16.4,80,65,2
2025-03-11,2025-01-17,55,Male,27,BP2B,12,16.6,81,65,2
2025-03-11,2025-01-17,55,Female,28,BP2B,12,14,80,62,2
2025-03-11,2025-01-17,55,Female,29,BP2B,12,15.4,80,62,2
2025-03-14,2025-01-17,58,Male,26,BP2B,12,17,80,65,2
2025-03-14,2025-01-17,58,Male,27,BP2B,12,19,81,65,2
2025-03-14,2025-01-17,58,Female,28,BP2B,12,15.3,80,64,2
2025-03-14,2025-01-17,58,Female,29,BP2B,12,18,80,62,2
2025-03-18,2025-01-17,62,Male,26,BP2B,12,18.6,81,65,2
2025-03-18,2025-01-17,62,Male,27,BP2B,12,18.9,84,66,2
2025-03-18,2025-01-17,62,Female,28,BP2B,12,15.7,80,64,2
2025-03-18,2025-01-17,62,Female,29,BP2B,12,16.4,82,64,2
2025-03-20,2025-01-17,64,Male,26,BP2B,12,17.7,82,66,2
2025-03-20,2025-01-17,64,Male,27,BP2B,12,19.4,84,66,2
2025-03-20,2025-01-17,64,Female,28,BP2B,12,15.3,82,64,2
2025-03-20,2025-01-17,64,Female,29,BP2B,12,16.7,84,64,2
2025-03-25,2025-01-17,69,Male,26,BP2B,12,19.1,87,68,2
2025-03-25,2025-01-17,69,Male,27,BP2B,12,19,85,67,2
2025-03-25,2025-01-17,69,Female,28,BP2B,12,16,82,65,2
2025-03-25,2025-01-17,69,Female,29,BP2B,12,17.3,84,65,2
2025-03-27,2025-01-17,71,Male,26,BP2B,12,19,88,68,2
2025-03-27,2025-01-17,71,Male,27,BP2B,12,19.5,87,67,2
2025-03-27,2025-01-17,71,Female,28,BP2B,12,16.3,82,66,2
2025-03-27,2025-01-17,71,Female,29,BP2B,12,17.5,85,65,2
2025-04-01,2025-01-17,71,Male,26,BP2B,12,19.9,88,68,2
2025-04-01,2025-01-17,71,Male,27,BP2B,12,20.1,89,70,2
2025-04-01,2025-01-17,71,Female,28,BP2B,12,16.5,82,69,2
2025-04-01,2025-01-17,71,Female,29,BP2B,12,18.2,85,68,2
2025-01-17,2025-01-10,7,Male,,BP1A,2,3.6,,,3
2025-01-17,2025-01-10,7,Female,,BP1A,2,3.5,,,3
2025-01-17,2025-01-10,7,Female,,BP1A,2,3.3,,,3
2025-01-17,2025-01-10,7,Female,,BP1A,2,3.3,,,3
2025-01-21,2025-01-10,11,Male,,BP1A,2,4.5,43,28,3
2025-01-21,2025-01-10,11,Female,,BP1A,2,4.7,47,29,3
2025-01-21,2025-01-10,11,Female,,BP1A,2,4.4,42,29,3
2025-01-23,2025-01-10,13,Male,,BP1A,2,4.7,49,31,3
2025-01-23,2025-01-10,13,Female,,BP1A,2,5,47,31,3
2025-01-23,2025-01-10,13,Female,,BP1A,2,4.6,44,31,3
2025-01-28,2025-01-10,18,Male,,BP1A,2,5.6,52,40,3
2025-01-28,2025-01-10,18,Female,,BP1A,2,6.1,55,40,3
2025-01-28,2025-01-10,18,Female,,BP1A,2,5.4,48,42,3
2025-01-30,2025-01-10,20,Male,23,BP1A,2,6.7,56,43,3
2025-01-30,2025-01-10,20,Female,24,BP1A,2,6.7,56,43,3
2025-01-30,2025-01-10,20,Female,25,BP1A,2,6,52,42,3
2025-02-04,2025-01-10,25,Male,23,BP1A,2,9.1,63,51,3
2025-02-04,2025-01-10,25,Female,24,BP1A,2,9,66,51,3
2025-02-04,2025-01-10,25,Female,25,BP1A,2,8.1,61,49,3
2025-02-07,2025-01-10,28,Male,23,BP1A,2,10.3,69,58,3
2025-02-07,2025-01-10,28,Female,24,BP1A,2,10,66,54,3
2025-02-07,2025-01-10,28,Female,25,BP1A,2,9.5,61,49,3
2025-02-10,2025-01-10,31,Male,23,BP1A,2,10.6,69,60,3
2025-02-10,2025-01-10,31,Female,24,BP1A,2,11.2,67,55,3
2025-02-10,2025-01-10,31,Female,25,BP1A,2,10,62,51,3
2025-02-14,2025-01-10,35,Male,23,BP1A,2,11.8,70,60,3
2025-02-14,2025-01-10,35,Female,24,BP1A,2,11.7,68,55,3
2025-02-14,2025-01-10,35,Female,25,BP1A,2,11,64,51,3
2025-02-18,2025-01-10,39,Male,23,BP1A,2,13.5,,,3
2025-02-18,2025-01-10,39,Female,24,BP1A,2,12.7,,,3
2025-02-18,2025-01-10,39,Female,25,BP1A,2,12.6,,,3
2025-02-24,2025-01-10,45,Male,23,BP1A,2,15.8,79,61,3
2025-02-24,2025-01-10,45,Female,24,BP1A,2,14.5,77,60,3
2025-02-24,2025-01-10,45,Female,25,BP1A,2,14,73,56,3
2025-02-25,2025-01-10,46,Male,23,BP1A,2,15.7,79,61,3
2025-02-25,2025-01-10,46,Female,24,BP1A,2,14.6,79,60,3
2025-02-25,2025-01-10,46,Female,25,BP1A,2,14.2,76,58,3
2025-02-28,2025-01-10,49,Male,23,BP1A,2,16.9,82,61,3
2025-02-28,2025-01-10,49,Female,24,BP1A,2,16.1,79,60,3
2025-02-28,2025-01-10,49,Female,25,BP1A,2,15.7,78,60,3
2025-03-04,2025-01-10,53,Male,23,BP1A,2,17.6,84,63,3
2025-03-04,2025-01-10,53,Female,24,BP1A,2,16.5,81,63,3
2025-03-04,2025-01-10,53,Female,25,BP1A,2,16.5,79,64,3
2025-03-06,2025-01-10,55,Male,23,BP1A,2,18.6,84,64,3
2025-03-06,2025-01-10,55,Female,24,BP1A,2,16.5,81,63,3
2025-03-06,2025-01-10,55,Female,25,BP1A,2,16.6,,,3
2025-03-07,2025-01-10,56,Male,23,BP1A,2,18.7,84,64,3
2025-03-07,2025-01-10,56,Female,24,BP1A,2,16.9,81,64,3
2025-03-07,2025-01-10,56,Female,25,BP1A,2,16.7,81,64,3
2025-03-11,2025-01-10,60,Male,23,BP1A,2,18.9,85,64,3
2025-03-11,2025-01-10,60,Female,24,BP1A,2,17.5,85,65,3
2025-03-11,2025-01-10,60,Female,25,BP1A,2,17.4,83,64,3
2025-03-14,2025-01-10,63,Male,23,BP1A,2,19.3,85,65,3
2025-03-14,2025-01-10,63,Female,24,BP1A,2,18.5,85,68,3
2025-03-14,2025-01-10,63,Female,25,BP1A,2,18,83,64,3
2025-03-18,2025-01-10,67,Male,23,BP1A,2,20.6,89,65,3
2025-03-18,2025-01-10,67,Female,24,BP1A,2,19.4,85,68,3
2025-03-18,2025-01-10,67,Female,25,BP1A,2,18.9,85,67,3
2025-03-20,2025-01-10,69,Male,23,BP1A,2,19.6,89,66,3
2025-03-20,2025-01-10,69,Female,24,BP1A,2,18.5,87,68,3
2025-03-20,2025-01-10,69,Female,25,BP1A,2,18.5,88,68,3
2025-03-25,2025-01-10,74,Male,23,BP1A,2,20.1,89,69,3
2025-03-25,2025-01-10,74,Female,24,BP1A,2,18.7,87,68,3
2025-03-25,2025-01-10,74,Female,25,BP1A,2,18.7,88,68,3
